date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:28	100514/100514	---M--	200	added ('OK')	image/jpeg	etag:%22188a2-51370c668e527%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-4-1024x745.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-4-1024x745.jpg	(from http://moc.sg/one-time-cleaning/)
20:41:35	238837/238837	---M--	200	added ('OK')	image/jpeg	etag:%223a4f5-51370c68c6ae7%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-5.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-5.jpg	(from http://moc.sg/one-time-cleaning/)
20:41:40	173759/173759	---M--	200	added ('OK')	image/jpeg	etag:%222a6bf-51370c65ec367%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-4.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-4.jpg	(from http://moc.sg/one-time-cleaning/)
20:41:51	97281/97281	---M--	200	added ('OK')	image/jpeg	etag:%2217c01-51370c6334e67%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-2-1024x749.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-2-1024x749.jpg	(from http://moc.sg/one-time-cleaning/)
20:42:01	59944/59944	---M--	200	added ('OK')	image/jpeg	etag:%22ea28-51370c611dbe7%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-1-1024x769.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-1-1024x769.jpg	(from http://moc.sg/one-time-cleaning/)
20:42:03	2195/2195	---M-Z	200	added ('OK')	application/json	date:Mon,%2030%20May%202022%2010:13:49%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Foffice-cleaning%2F	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embed6def.json	(from http://moc.sg/office-cleaning/)
20:42:03	730/730	---M--	200	added ('OK')	application/rss+xml	etag:%22f23fd8d62c7d01bdfb9cb6946ed4e8c0%22	http://moc.sg/office-cleaning/feed/	D:/Static%20Webpage/fyp2/MOC/moc.sg/office-cleaning/feed/index.html	(from http://moc.sg/office-cleaning/)
20:42:04	2292/2292	---M-Z	200	added ('OK')	text/xml	date:Mon,%2030%20May%202022%2010:13:50%20GMT	http://moc.sg/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmoc.sg%2Foffice-cleaning%2F&format=xml	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-json/oembed/1.0/embed7e80	(from http://moc.sg/office-cleaning/)
20:42:04	233519/233519	---M--	200	added ('OK')	image/jpeg	etag:%223902f-51370c64d4ea7%22	http://moc.sg/wp-content/uploads/2015/04/services-one-time-3-1024x774.jpg	D:/Static%20Webpage/fyp2/MOC/moc.sg/wp-content/uploads/2015/04/services-one-time-3-1024x774.jpg	(from http://moc.sg/one-time-cleaning/)
20:42:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20May%202022%2010:13:51%20GMT	http://moc.sg/?p=16419	D:/Static%20Webpage/fyp2/MOC/moc.sg/index1fc1.html	(from http://moc.sg/office-cleaning/)
